tourney_id,tourney_name,surface,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_name,winner_hand,winner_ht,winner_age,winner_rank,loser_id,loser_name,loser_hand,loser_ht,loser_age,loser_rank,best_of,round,minutes,w_ace,w_1stWon,w_2ndWon,l_1stWon,l_2ndWon
2017-M020,Brisbane,Hard,A,20170102,300,105777,7,Grigor Dimitrov,R,188,25.63449692,17,105453,Kei Nishikori,R,178,27.01163587,5,3,F,108,7,41,12,36,9
2017-M020,Brisbane,Hard,A,20170102,299,105777,7,Grigor Dimitrov,R,188,25.63449692,17,105683,Milos Raonic,R,196,26.01779603,3,3,SF,87,4,27,18,24,16
2017-M020,Brisbane,Hard,A,20170102,298,105453,3,Kei Nishikori,R,178,27.01163587,5,104527,Stanislas Wawrinka,R,183,31.76728268,4,3,SF,101,1,37,14,27,10
2017-M020,Brisbane,Hard,A,20170102,297,105683,1,Milos Raonic,R,196,26.01779603,3,104745,Rafael Nadal,L,185,30.58453114,9,3,QF,140,23,50,16,39,14
2017-M020,Brisbane,Hard,A,20170102,296,105777,7,Grigor Dimitrov,R,188,25.63449692,17,106233,Dominic Thiem,R,,23.33196441,8,3,QF,124,3,42,23,29,24
2017-M020,Brisbane,Hard,A,20170102,295,105453,3,Kei Nishikori,R,178,27.01163587,5,111442,Jordan Thompson,R,,22.70499658,79,3,QF,61,3,18,10,15,5
2017-M020,Brisbane,Hard,A,20170102,294,104527,2,Stanislas Wawrinka,R,183,31.76728268,4,106378,Kyle Edmund,R,,21.98494182,45,3,QF,156,11,47,28,52,11
2017-M020,Brisbane,Hard,A,20170102,293,105683,1,Milos Raonic,R,196,26.01779603,3,106043,Diego Sebastian Schwartzman,R,,24.38056126,52,3,R16,69,12,30,7,17,6
2017-M020,Brisbane,Hard,A,20170102,292,104745,5,Rafael Nadal,L,185,30.58453114,9,104999,Mischa Zverev,L,190,29.36618754,51,3,R16,55,1,15,15,13,3
2017-M020,Brisbane,Hard,A,20170102,291,106233,4,Dominic Thiem,R,,23.33196441,8,105032,Samuel Groth,R,,29.2073922,180,3,R16,89,11,36,15,34,9
2017-M020,Brisbane,Hard,A,20170102,290,105777,7,Grigor Dimitrov,R,188,25.63449692,17,103917,Nicolas Mahut,R,190,34.9486653,39,3,R16,65,8,25,12,27,4
2017-M020,Brisbane,Hard,A,20170102,289,111442,,Jordan Thompson,R,,22.70499658,79,103970,David Ferrer,R,175,34.75427789,21,3,R16,158,5,49,18,42,23
2017-M020,Brisbane,Hard,A,20170102,288,105453,3,Kei Nishikori,R,178,27.01163587,5,111577,Jared Donaldson,R,,20.23271732,105,3,R16,143,3,47,18,32,20
2017-M020,Brisbane,Hard,A,20170102,287,106378,,Kyle Edmund,R,,21.98494182,45,106298,Lucas Pouille,R,,22.85831622,15,3,R16,59,6,22,11,15,6
